id,created_at,created_phase,created_batch,rating_bundle,completion_code
831,"2016-03-03 19:25:08",10,NULL,36,kV8MPl3w
832,"2016-03-03 19:30:03",10,NULL,105,Xbg13PKY
833,"2016-03-03 19:41:07",10,NULL,26,HescYEU3
834,"2016-03-03 20:02:27",10,NULL,24,Ntb7s2R6
836,"2016-03-03 20:33:33",10,NULL,95,XX4BbZLI
837,"2016-03-03 20:48:26",10,NULL,2,swFTTYL8
838,"2016-03-03 21:53:34",10,NULL,16,Z7z2E2SO
839,"2016-03-03 22:23:03",10,NULL,86,ytQPJ5i4
841,"2016-03-03 23:09:09",10,NULL,26,Tm5KaWan
842,"2016-03-04 08:01:46",10,NULL,38,2HiS6Yl0
843,"2016-03-04 08:01:50",10,NULL,19,jgJo6yyC
844,"2016-03-04 08:01:51",10,NULL,33,UQxginNY
845,"2016-03-04 08:01:52",10,NULL,10,mfsEGPVh
846,"2016-03-04 08:01:59",10,NULL,81,ujUoZ5Wv
847,"2016-03-04 08:02:03",10,NULL,80,4Tx4sV7z
848,"2016-03-04 08:02:04",10,NULL,108,GOAjFOay
849,"2016-03-04 08:02:12",10,NULL,85,vfmf5h7N
850,"2016-03-04 08:02:15",10,NULL,94,xHFSjCVg
851,"2016-03-04 08:02:15",10,NULL,44,or8EsGQY
852,"2016-03-04 08:02:15",10,NULL,70,YZdhhjyu
854,"2016-03-04 08:02:17",10,NULL,108,LMFD1SeV
855,"2016-03-04 08:02:25",10,NULL,87,5rP1oShd
856,"2016-03-04 08:02:28",10,NULL,26,hB3sWiKd
857,"2016-03-04 08:02:37",10,NULL,34,rXEv5PPD
858,"2016-03-04 08:02:40",10,NULL,79,lejuPjKL
859,"2016-03-04 08:02:42",10,NULL,37,nGP50AEv
861,"2016-03-04 08:02:47",10,NULL,21,XI49vvia
862,"2016-03-04 08:02:48",10,NULL,43,GNka4ug1
865,"2016-03-04 08:02:59",10,NULL,108,yT0WemgU
866,"2016-03-04 08:03:00",10,NULL,20,4rrVDFW4
868,"2016-03-04 08:03:03",10,NULL,45,ViNwBg4v
869,"2016-03-04 08:03:05",10,NULL,107,dv2i1d8q
871,"2016-03-04 08:03:36",10,NULL,105,xP0MHGY6
873,"2016-03-04 08:03:38",10,NULL,43,d7sfrnnf
874,"2016-03-04 08:03:39",10,NULL,34,8aYjV1om
875,"2016-03-04 08:03:40",10,NULL,78,2fHWY7uU
876,"2016-03-04 08:03:45",10,NULL,28,QiJnM2Rr
878,"2016-03-04 08:03:50",10,NULL,17,F2fiExTx
879,"2016-03-04 08:03:54",10,NULL,86,Yub9dMKc
881,"2016-03-04 08:03:59",10,NULL,51,m3RireNJ
882,"2016-03-04 08:04:01",10,NULL,37,KjVgoO66
884,"2016-03-04 08:04:08",10,NULL,2,GnoHDiXd
885,"2016-03-04 08:04:38",10,NULL,60,GxPLRmYV
886,"2016-03-04 08:04:39",10,NULL,68,OvuHDXko
887,"2016-03-04 08:04:44",10,NULL,50,8klzCnru
888,"2016-03-04 08:04:45",10,NULL,11,yhx8iNZ5
889,"2016-03-04 08:04:46",10,NULL,106,chG9nCEU
891,"2016-03-04 08:05:06",10,NULL,82,uIizniR5
892,"2016-03-04 08:05:21",10,NULL,61,gpRMFixc
